"model","iterations","Parameter","metric","species","value"
"Detect",19,"beta1","RMSE","1","0.255902143049459"
"VSEDetect",19,"beta1","RMSE","1","12.0109604614562"
"VSEDetectMisclass",19,"beta1","RMSE","1","3.07036235880646"
"naive",20,"beta1","RMSE","1","8.287064784695"
"VSE",20,"beta1","RMSE","1","1.13472038426052"
"Detect",20,"beta1","RMSE","1","26.0740288598324"
"VSEDetect",20,"beta1","RMSE","1","11.9531607037058"
"VSEDetectMisclass",20,"beta1","RMSE","1","5.61035136736569"
"naive",21,"beta1","RMSE","1","1.49497766722321"
"VSE",21,"beta1","RMSE","1","9.20686409560815"
"Detect",21,"beta1","RMSE","1","24.5568120416125"
"VSEDetect",21,"beta1","RMSE","1","16.20236499583"
"VSEDetectMisclass",21,"beta1","RMSE","1","1.66679033981782"
"naive",22,"beta1","RMSE","1","0.251491795567933"
"VSE",22,"beta1","RMSE","1","16.8627290958949"
"Detect",22,"beta1","RMSE","1","8.86765469926124"
"VSEDetect",22,"beta1","RMSE","1","11.876079794059"
"VSEDetectMisclass",22,"beta1","RMSE","1","0.746257976868561"
"naive",23,"beta1","RMSE","1","0.787998605994653"
"VSE",23,"beta1","RMSE","1","9.26140295464978"
"Detect",23,"beta1","RMSE","1","24.1335966868584"
"VSEDetect",23,"beta1","RMSE","1","16.2129844634408"
"VSEDetectMisclass",23,"beta1","RMSE","1","3.58991257576867"
"naive",24,"beta1","RMSE","1","218.672506935499"
"VSE",24,"beta1","RMSE","1","12.8428745589391"
"Detect",24,"beta1","RMSE","1","26.124644098651"
"VSEDetect",24,"beta1","RMSE","1","16.2927171051943"
"VSEDetectMisclass",24,"beta1","RMSE","1","6.60029375528532"
"naive",25,"beta1","RMSE","1","2.08661900256664"
"VSE",25,"beta1","RMSE","1","12.4908107494949"
"Detect",25,"beta1","RMSE","1","26.3133185623556"
"VSEDetect",25,"beta1","RMSE","1","16.2193275987467"
"VSEDetectMisclass",25,"beta1","RMSE","1","0.914516004291081"
"naive",26,"beta1","RMSE","1","0.828565453913753"
"VSE",26,"beta1","RMSE","1","16.9644237760744"
"Detect",26,"beta1","RMSE","1","17.3876141166356"
"VSEDetect",26,"beta1","RMSE","1","12.21382933679"
"VSEDetectMisclass",26,"beta1","RMSE","1","0.594830067928327"
"naive",27,"beta1","RMSE","1","0.480914422336514"
"VSE",27,"beta1","RMSE","1","12.8349024618354"
"Detect",27,"beta1","RMSE","1","24.376499130649"
"VSEDetect",27,"beta1","RMSE","1","12.1535057840349"
"VSEDetectMisclass",27,"beta1","RMSE","1","1.97551541937228"
"naive",28,"beta1","RMSE","1","0.214080375788434"
"VSE",28,"beta1","RMSE","1","12.6332005520996"
"Detect",28,"beta1","RMSE","1","17.7757961889205"
"VSEDetect",28,"beta1","RMSE","1","11.8700726737204"
"VSEDetectMisclass",28,"beta1","RMSE","1","1.80599831589538"
"naive",29,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSE",29,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"Detect",29,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetect",29,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetectMisclass",29,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"naive",30,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSE",30,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"Detect",30,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetect",30,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetectMisclass",30,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"naive",31,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSE",31,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"Detect",31,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetect",31,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetectMisclass",31,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"naive",32,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSE",32,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"Detect",32,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetect",32,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetectMisclass",32,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"naive",33,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSE",33,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"Detect",33,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetect",33,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetectMisclass",33,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"naive",34,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSE",34,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"Detect",34,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetect",34,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetectMisclass",34,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"naive",35,"beta1","RMSE","1","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSE",35,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"Detect",35,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetect",35,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetectMisclass",35,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"naive",36,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSE",36,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"Detect",36,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetect",36,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetectMisclass",36,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"naive",37,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSE",37,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"Detect",37,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetect",37,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetectMisclass",37,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"naive",38,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSE",38,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"Detect",38,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetect",38,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetectMisclass",38,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"naive",39,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSE",39,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"Detect",39,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetect",39,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetectMisclass",39,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"naive",40,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSE",40,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"Detect",40,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetect",40,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetectMisclass",40,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"naive",41,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSE",41,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"Detect",41,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetect",41,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetectMisclass",41,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"naive",42,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSE",42,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"Detect",42,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetect",42,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetectMisclass",42,"beta1","RMSE","1","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"naive",1,"beta1","RMSE","2","0.342807957256734"
"VSE",1,"beta1","RMSE","2","0.215564866647965"
"Detect",1,"beta1","RMSE","2","0.163700195508468"
"VSEDetect",1,"beta1","RMSE","2","23.9646670080509"
"VSEDetectMisclass",1,"beta1","RMSE","2","0.812563094213097"
"naive",2,"beta1","RMSE","2","0.992439139057781"
"VSE",2,"beta1","RMSE","2","0.530914685221892"
"Detect",2,"beta1","RMSE","2","0.8865066278227"
"VSEDetect",2,"beta1","RMSE","2","9.34955900847854"
"VSEDetectMisclass",2,"beta1","RMSE","2","1.08674903171167"
"naive",3,"beta1","RMSE","2","0.532102107412891"
"VSE",3,"beta1","RMSE","2","0.177815189916393"
"Detect",3,"beta1","RMSE","2","0.53660788714368"
"VSEDetect",3,"beta1","RMSE","2","7.12818206314223"
"VSEDetectMisclass",3,"beta1","RMSE","2","1.44900371223326"
"naive",4,"beta1","RMSE","2","2.58954900510194"
"VSE",4,"beta1","RMSE","2","2.17388750759459"
"Detect",4,"beta1","RMSE","2","2.18146570632708"
"VSEDetect",4,"beta1","RMSE","2","9.50516915066658"
"VSEDetectMisclass",4,"beta1","RMSE","2","0.725975457152357"
"naive",5,"beta1","RMSE","2","0.860272777786754"
"VSE",5,"beta1","RMSE","2","0.398157180030892"
"Detect",5,"beta1","RMSE","2","0.753464610431397"
"VSEDetect",5,"beta1","RMSE","2","9.31171052726829"
"VSEDetectMisclass",5,"beta1","RMSE","2","2.7770214172554"
"naive",6,"beta1","RMSE","2","0.357510819174887"
"VSE",6,"beta1","RMSE","2","0.261931754985917"
"Detect",6,"beta1","RMSE","2","0.396347970122117"
"VSEDetect",6,"beta1","RMSE","2","9.31729146747673"
"VSEDetectMisclass",6,"beta1","RMSE","2","1.50405726092608"
"naive",7,"beta1","RMSE","2","0.330837339294811"
"VSE",7,"beta1","RMSE","2","0.203259354639443"
"Detect",7,"beta1","RMSE","2","65662758.9272876"
"VSEDetect",7,"beta1","RMSE","2","6.71857331851871"
"VSEDetectMisclass",7,"beta1","RMSE","2","0.689458086956404"
"naive",8,"beta1","RMSE","2","1.97763312728505"
"VSE",8,"beta1","RMSE","2","0.771280194822854"
"Detect",8,"beta1","RMSE","2","1.68059776661764"
"VSEDetect",8,"beta1","RMSE","2","9.30366204222652"
"VSEDetectMisclass",8,"beta1","RMSE","2","4.19242279136154"
"naive",9,"beta1","RMSE","2","1.07050051773164"
"VSE",9,"beta1","RMSE","2","0.852209280877191"
"Detect",9,"beta1","RMSE","2","0.954890111490826"
"VSEDetect",9,"beta1","RMSE","2","7.07923732247237"
"VSEDetectMisclass",9,"beta1","RMSE","2","1.18226072289279"
"naive",10,"beta1","RMSE","2","3.19875993316459"
"VSE",10,"beta1","RMSE","2","1.45474345300376"
"Detect",10,"beta1","RMSE","2","2.8606845585007"
"VSEDetect",10,"beta1","RMSE","2","9.43589717736165"
"VSEDetectMisclass",10,"beta1","RMSE","2","2.17009519656609"
"naive",11,"beta1","RMSE","2","0.637458520610305"
"VSE",11,"beta1","RMSE","2","0.37978562437846"
"Detect",11,"beta1","RMSE","2","0.640187945377241"
"VSEDetect",11,"beta1","RMSE","2","6.1948080812651"
"VSEDetectMisclass",11,"beta1","RMSE","2","0.892964214794627"
"naive",12,"beta1","RMSE","2","0.191673549880491"
"VSE",12,"beta1","RMSE","2","0.102003957771554"
"Detect",12,"beta1","RMSE","2","0.216174958210177"
"VSEDetect",12,"beta1","RMSE","2","9.36703075349477"
"VSEDetectMisclass",12,"beta1","RMSE","2","3.00719394392571"
"naive",13,"beta1","RMSE","2","0.185295724296639"
"VSE",13,"beta1","RMSE","2","0.149118193447751"
"Detect",13,"beta1","RMSE","2","0.171094259365428"
"VSEDetect",13,"beta1","RMSE","2","7.36343580204609"
"VSEDetectMisclass",13,"beta1","RMSE","2","1.03177104869654"
"naive",14,"beta1","RMSE","2","1.60831615397603"
"VSE",14,"beta1","RMSE","2","0.188870147269312"
"Detect",14,"beta1","RMSE","2","1.60908334664912"
"VSEDetect",14,"beta1","RMSE","2","6.45072012201432"
"VSEDetectMisclass",14,"beta1","RMSE","2","1.11702382230036"
"naive",15,"beta1","RMSE","2","0.171931376128426"
"VSE",15,"beta1","RMSE","2","0.129337969456776"
"Detect",15,"beta1","RMSE","2","0.205836901486119"
"VSEDetect",15,"beta1","RMSE","2","9.46563219030812"
"VSEDetectMisclass",15,"beta1","RMSE","2","1.04570252538406"
"naive",16,"beta1","RMSE","2","0.522623466880232"
"VSE",16,"beta1","RMSE","2","0.688345562829286"
"Detect",16,"beta1","RMSE","2","0.556674710566235"
"VSEDetect",16,"beta1","RMSE","2","9.29685265409705"
"VSEDetectMisclass",16,"beta1","RMSE","2","3.65135182296703"
"naive",17,"beta1","RMSE","2","0.595664810240568"
"VSE",17,"beta1","RMSE","2","0.209519881891898"
"Detect",17,"beta1","RMSE","2","0.596018752535576"
"VSEDetect",17,"beta1","RMSE","2","6.43654385376887"
"VSEDetectMisclass",17,"beta1","RMSE","2","10.3336910205209"
"naive",18,"beta1","RMSE","2","1.11094609686443"
"VSE",18,"beta1","RMSE","2","0.836706372160093"
"Detect",18,"beta1","RMSE","2","1.17339580164679"
"VSEDetect",18,"beta1","RMSE","2","6.59346521566887"
"VSEDetectMisclass",18,"beta1","RMSE","2","0.689407714727068"
"naive",19,"beta1","RMSE","2","0.154741569865496"
"VSE",19,"beta1","RMSE","2","0.139491552734698"
"Detect",19,"beta1","RMSE","2","0.155097779714331"
"VSEDetect",19,"beta1","RMSE","2","6.53656962584395"
"VSEDetectMisclass",19,"beta1","RMSE","2","2.40256354649948"
"naive",20,"beta1","RMSE","2","13173976.6102025"
"VSE",20,"beta1","RMSE","2","4.00659321328355"
"Detect",20,"beta1","RMSE","2","17.0190240850039"
"VSEDetect",20,"beta1","RMSE","2","6.45019762149119"
"VSEDetectMisclass",20,"beta1","RMSE","2","1.77815086582433"
"naive",21,"beta1","RMSE","2","0.36006148924645"
"VSE",21,"beta1","RMSE","2","4.48839931844825"
"Detect",21,"beta1","RMSE","2","15.8215238969161"
"VSEDetect",21,"beta1","RMSE","2","9.42018777044367"
"VSEDetectMisclass",21,"beta1","RMSE","2","1.33336398398262"
"naive",22,"beta1","RMSE","2","0.152743429551351"
"VSE",22,"beta1","RMSE","2","9.62789454627021"
"Detect",22,"beta1","RMSE","2","4.29501360715899"
"VSEDetect",22,"beta1","RMSE","2","6.29703912196783"
"VSEDetectMisclass",22,"beta1","RMSE","2","1.64695406857419"
"naive",23,"beta1","RMSE","2","5064714.98962957"
"VSE",23,"beta1","RMSE","2","4.55430623627373"
"Detect",23,"beta1","RMSE","2","15.5479423096806"
"VSEDetect",23,"beta1","RMSE","2","9.4866617313807"
"VSEDetectMisclass",23,"beta1","RMSE","2","6.05384148580351"
"naive",24,"beta1","RMSE","2","684.49358497729"
"VSE",24,"beta1","RMSE","2","6.83178933066911"
"Detect",24,"beta1","RMSE","2","17.1643414336463"
"VSEDetect",24,"beta1","RMSE","2","9.40719934535287"
"VSEDetectMisclass",24,"beta1","RMSE","2","2.67520520859216"
"naive",25,"beta1","RMSE","2","0.130423496930892"
"VSE",25,"beta1","RMSE","2","6.65953633507539"
"Detect",25,"beta1","RMSE","2","17.3156008031448"
"VSEDetect",25,"beta1","RMSE","2","9.40727049127109"
"VSEDetectMisclass",25,"beta1","RMSE","2","0.934716917026823"
"naive",26,"beta1","RMSE","2","1.02246981293359"
"VSE",26,"beta1","RMSE","2","9.83977338827943"
"Detect",26,"beta1","RMSE","2","10.3541771214818"
"VSEDetect",26,"beta1","RMSE","2","6.35324302239539"
"VSEDetectMisclass",26,"beta1","RMSE","2","1.09418299218569"
"naive",27,"beta1","RMSE","2","1.12419269209432"
"VSE",27,"beta1","RMSE","2","6.93555845251759"
"Detect",27,"beta1","RMSE","2","15.7024561746571"
"VSEDetect",27,"beta1","RMSE","2","6.58178363897256"
"VSEDetectMisclass",27,"beta1","RMSE","2","1.0880417038926"
"naive",28,"beta1","RMSE","2","0.408445332771917"
"VSE",28,"beta1","RMSE","2","6.66094341201005"
"Detect",28,"beta1","RMSE","2","10.6021691867009"
"VSEDetect",28,"beta1","RMSE","2","6.56470387084963"
"VSEDetectMisclass",28,"beta1","RMSE","2","0.777060882560532"
"naive",29,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSE",29,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"Detect",29,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetect",29,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetectMisclass",29,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"naive",30,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSE",30,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"Detect",30,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetect",30,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetectMisclass",30,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"naive",31,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSE",31,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"Detect",31,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetect",31,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetectMisclass",31,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"naive",32,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSE",32,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"Detect",32,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetect",32,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetectMisclass",32,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"naive",33,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSE",33,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"Detect",33,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetect",33,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetectMisclass",33,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"naive",34,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSE",34,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"Detect",34,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetect",34,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSEDetectMisclass",34,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"naive",35,"beta1","RMSE","2","Error in data.frame(beta0_Bias_1 = beta0Bias[1], beta0_Bias_2 = beta0Bias[2],  : 
  arguments imply differing number of rows: 1, 0
"
"VSE",35,"beta1","RMSE","2","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"Detect",35,"beta1","RMSE","2","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetect",35,"beta1","RMSE","2","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSEDetectMisclass",35,"beta1","RMSE","2","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"naive",36,"beta1","RMSE","2","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"VSE",36,"beta1","RMSE","2","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
"Detect",36,"beta1","RMSE","2","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
"
